time_s,bag_time_s,mission_label,mission_state,frequency_hz,cmd.kind,cmd.label,cmd.max_retries,s1_position_rad,s1_velocity_rps,s1_current_a,s1_voltage_v,s1_mode,s2_position_rad,s2_velocity_rps,s2_current_a,s2_voltage_v,s2_mode
0.0,1783622739.229727,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.0159,1783622739.245663,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.032,1783622739.261747,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.048,1783622739.277775,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.064,1783622739.293694,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.08,1783622739.30969,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.096,1783622739.325699,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.1119,1783622739.341667,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.1279,1783622739.357663,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.1439,1783622739.373637,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.1599,1783622739.389622,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.1759,1783622739.405613,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.1919,1783622739.421627,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.2079,1783622739.437627,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.2239,1783622739.453614,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.2399,1783622739.469661,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.2559,1783622739.485624,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.2719,1783622739.501618,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.2879,1783622739.517635,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.3039,1783622739.533629,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.3199,1783622739.549628,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.3359,1783622739.565628,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.3519,1783622739.581607,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.3679,1783622739.597645,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.3839,1783622739.613644,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.3999,1783622739.629623,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.4319,1783622739.661605,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.4479,1783622739.677645,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.4639,1783622739.693616,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.4799,1783622739.709625,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.4959,1783622739.725613,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.5119,1783622739.741618,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,-0.002689999993890524,12.0,4.0
0.5279,1783622739.757612,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.5439,1783622739.773605,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.5599,1783622739.789612,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.5759,1783622739.805635,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.5919,1783622739.821645,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.6079,1783622739.837609,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.6239,1783622739.853619,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.6399,1783622739.869619,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
0.6559,1783622739.885615,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,0.0,12.100000381469727,4.0,-0.0,-0.0,-0.002689999993890524,12.0,4.0
0.6719,1783622739.901615,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.6879,1783622739.917622,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,0.0015339808305725455,-0.0,-0.002689999993890524,12.0,4.0
0.7039,1783622739.933641,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
0.7199,1783622739.949604,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,-0.002689999993890524,12.0,4.0
0.7359,1783622739.965621,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
