time_s,bag_time_s,mission_label,mission_state,frequency_hz,cmd.kind,cmd.label,cmd.velocity,cmd.roll_effort,cmd.pitch_effort,cmd.pitch_phase,cmd.cycles,cmd.max_retries,s1_position_rad,s1_velocity_rps,s1_current_a,s1_voltage_v,s1_mode,s2_position_rad,s2_velocity_rps,s2_current_a,s2_voltage_v,s2_mode
0.0,1783622749.325237,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,-0.0,-0.0,0.0,12.100000381469727,4.0,-0.0,-0.0,-0.002689999993890524,12.0,4.0
0.016,1783622749.341207,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,-0.0,-0.0,0.0,12.100000381469727,4.0,-0.0,-0.0,-0.002689999993890524,12.0,4.0
0.0319,1783622749.35717,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.004601942375302315,-0.0,-0.35238999128341675,11.800000190734863,4.0,0.007669903803616762,-0.0,-0.7451300024986267,11.699999809265137,4.0
0.048,1783622749.373242,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.04448544234037399,0.3836931884288788,-0.4115700125694275,11.800000190734863,4.0,0.07363107800483704,0.695443868637085,-0.14794999361038208,11.800000190734863,4.0
0.0641,1783622749.389361,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.1227184608578682,1.6546767950057983,-0.05380000174045563,11.899999618530273,4.0,0.1595340073108673,2.565948247909546,-0.09952999651432037,11.899999618530273,4.0
0.0801,1783622749.405322,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.17487381398677826,2.733814001083374,-0.002689999993890524,12.0,4.0,0.21015536785125732,3.549161911010742,-0.09684000164270401,11.899999618530273,4.0
0.0961,1783622749.421332,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.2546408176422119,4.052759170532227,-0.0699400007724762,12.0,4.0,0.2960582971572876,4.628299236297607,-0.09414999932050705,11.899999618530273,4.0
0.112,1783622749.437228,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.38196122646331787,4.916069030761719,-0.06456000357866287,12.0,4.0,0.41724276542663574,5.1798577308654785,-0.09145999699831009,11.899999618530273,4.0
0.1441,1783622749.469306,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.5138835906982422,5.371704578399658,-0.06456000357866287,12.0,4.0,0.5200194716453552,5.155877113342285,0.13718999922275543,12.0,4.0
0.1601,1783622749.485298,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.6519418358802795,5.539570331573486,-0.06724999845027924,12.0,4.0,0.5645049214363098,3.693046808242798,0.03765999898314476,12.0,4.0
0.176,1783622749.501268,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.7409127354621887,5.56355094909668,-0.06456000357866287,12.0,4.0,0.5767768025398254,2.3980824947357178,0.01882999949157238,12.0,4.0
0.192,1783622749.517188,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.7946020364761353,5.56355094909668,-0.06724999845027924,12.0,4.0,0.581378698348999,1.7985618114471436,0.005379999987781048,12.0,4.0
0.209,1783622749.534242,FORWARD_PADDLE,UNKNOWN,0.506606,forward_paddle,FORWARD_PADDLE,5.0,1.0,0.4,1.5708,3.0,2,0.9173204898834229,5.56355094909668,-0.06456000357866287,12.0,4.0,0.5829126834869385,0.7913671731948853,0.26093000173568726,12.0,4.0
